1,종합부동산세,"부동산 보유 정도에 따라 조세의 부담 비율을 달리하여 납세의 형평성을 제고한 국세로, 주택에 대한 종합부동산세와 토지에 대한 종합부동산세를 합한 금액이다.<br>부동산 투기수요를 억제하여 부동산 가격을 안정시키기 위한 목적으로 2005년부터 시행되었다.",https://terms.naver.com/entry.nhn?docId=930265&cid=43667&categoryId=43667
2,초과이익환수제,"재건축 종료시점(준공인가) 집값에서 개시시점(추진위원회 설립 승인) 집값과 정상주택가격 상승분, 개발비용을 뺀 금액이 1인당 3000만 원을 넘을 경우 초과금액 구간별로 10~50% 누진 과세하는 제도이다.<br>토지로부터 발생되는 개발이익을 환수하여 이를 적정하게 배분함으로써 토지에 대한 투기를 방지하고 토지의 효율적인 이용을 목적으로 시행되는 제도이다.",https://terms.naver.com/entry.nhn?docId=74912&cid=43667&categoryId=43667
3,공시지가,"국토교통부 장관이 조사·평가하여 공시한 토지의 단위면적(㎡)당 가격이다. 부동산 공시가격은 보유세·건보료 산정 등 60여 개 행정 목적의 기준이 된다.<br>시세 등을 고려해 공시가격을 현실화하면 공정하게 세금을 걷고, 필요한 분들이 복지혜택을 받을 수 있다.",https://terms.naver.com/entry.nhn?docId=1167798&cid=40942&categoryId=31819
4,부동산 세제,"부동산에 대하여 부과하는 조세란 뜻으로, 부동산 정책의 중요한 도구로 사용되어왔다.<br>부동산정책이란 원칙적으로 공급이 한정되어있는 부동산에 대한 투기를 방지하기 위한 정책을 말한다.",https://m.joseilbo.com/news/view.htm?newsid=401430
5,첨단 복합문화 유통시설,"대형 쇼핑몰, 영화관, 공연장, 이벤트 공간 등 유통매장에서 제공하는 문화를 소비자가 편안하게 즐길 수 있는 복합문화공간이다.<br>기업 입장에서는 상품을 구매하는 과정에서 소비자가 브랜드에 대한 긍정적 태도를 갖게 되어 이익이 되는 반면, 소비자는 기업이 제공하는 문화적 공간을 휴식과 문화를 향유하는 장소로 활용할 수 있어 상호 이익이 된다.","서울도시연구 제10권 제4호 2009. 복합문화공간형 유통매장에서의 체험과 소비자 태도 , 서구원 민형철"
6,양재R&CD지구,서울시가 전국 최초로 AI 분야 특화기업 육성 및 전문인재 양성을 위해 운영하고 있는 스타트업·중소·벤처기업의 집적지이다.,https://www.sedaily.com/NewsVIew/1VQYO5PXST
7,종상향,"세분화된 용도지역에 대해 1ㆍ2종 일반주거지역을 2ㆍ3종으로 높이는 것을 말한다. 종(種)이 상향됨에 따라 건축물의 용적률, 건폐율, 층수 등을 상향시켜 사업성을 개선시킬 수 있다.",https://terms.naver.com/entry.nhn?docId=930186&cid=43667&categoryId=43667
8,공공임대주택,"공공주택사업자가 국가 또는 지방자치단체의 재정이나 주택도시기금을 지원받아 건설, 매입 또는 임차하여 공급하는 주택으로 임대 또는 임대한 후 분양전환을 할 목적으로 공급하는 주택을 말한다.",https://terms.naver.com/entry.nhn?docId=1827295&cid=42154&categoryId=42154
9,탄천하수처리장 5단계 복개,"하수 처리 시설인 서울시 물재생센터가 1~4단계를 거쳐 현대화된 연구 개발 공간을 한 단계 더 발전시켜, 신재생 에너지 생산 시스템이 들어서고, 하수 처리 기능도 한층 고도화시키는 사업이다.",https://www.yna.co.kr/view/AKR20191112050851004
10,세곡디지털밸리(SDV),"스타트업 육성과 청년 일자리 창출을 위한 공간으로, 수서역이라는 교통 이점을 이용해 테헤란로 일대의 금융과 판교의 기술이 모이는 중심으로 만드는 것이 박진 국회의원의 목표이다.",https://www.thewordnews.co.kr/mobile/article.html?no=22721
11,ICT벤처리빙랩,"리빙랩은 일상생활 속 실험실을 말한다. ICT벤처리빙랩은 딥테크(AI·로봇) 분야를 지원할 고기술 창업 특화시스템을 마련하고, TIPS타운·무역협회·서울로봇고·수도전기공고 등 지역 인프라를 활용한 창업생태계 조성과 일자리 창출이 가능한 공간을 말한다.",http://www.ilyoseoul.co.kr
12,이음학교,"초등학교와 중학교를 하나의 학교로 묶은통합운영학교로, 학생 수와 지역 여건 변화에 따라 탄생한 새로운 학교 모델이다.<br>초·중 또는 중·고의 교육과정을 한 학교에서 체계적으로 연계해 교육의 연속성과 지속성 강화 및 학생의 정성적 안정 효과를 불러일으킨다.",https://www.asiae.co.kr/article/2018110903551168312
